Measurements,UNet Predicted [mm],Manual [mm]
OFD,104.40989099523318,
Mento-vertical diameter,123.90862489648846,
BPD,90.8354884726971,
Bihumeral diameter,85.3333007411832,
Fetal head circumference (HC),306.6907248919006,
